1,2,3,4
82584,98081,39.7155046,
610880,936206,114.9739236,
894465,690254,15.22179551,
942529,89021,51.4476849,
357406,2869578,156.4334848,
687487,760238,25.59616065,
416785,786245,133.0102456,
38490,855405,4.034211176,
852007,98081,84.27264186,
20278,208076,80.47163914,
530745,247699,22.77101292,
840402,489999,17.63861873,
501081,862855,357.6271084,
162677,552325,900.3062039,
100160,766361,15.3974534,
46861,766893,23.99566074,
794449,186390,55.26506055,
840102,936190,233.931021,
198532,399659,4.458226725,
673114,13038,16.0953465,
3595,339624,25.01478326,
297702,799100,29.54065427,
59537,672011,74.83887054,
237205,932665,76.59638647,
127369,824879,120.7914028,
382734,745915,19.65132542,
549797,337271,2.998538695,
75747,521851,31.14868958,
928942,292915,160.4796643,
128099,73383,4.031734037,
197364,984877,602.9525361,
949820,576718,2.872100992,
755156,184043,133.2454681,
285272,745071,40.89808406,
766893,295276,14.96749787,
899530,319846,2.537655935,
19701,752314,2.665587537,
71209,474150,65.07003261,
343930,621959,21.68360998,
819894,187478,54.7580055,
163229,660053,29.36149633,
127337,747757,18.72888788,
105354,26367,73.61341806,
71970,13038,9.867467315,
754032,748421,1.307176828,
549797,151431,25.82183828,
631579,955544,54.00194168,
789775,226380,54.63010355,
502371,1502854,9.12065421,
99753,861252,810.483457,